!case,User Unique ID,n_favorited,n_diversity,n_genres,Read an average of...,Age,Gender,State,Education level,Civil status,Racial identity,Average income,Q1. The app provided some really good recommendations. ,Q2. The items recommended to me are diverse. ,Q3. I am eager to read the book(s) I have put on the reading list ,Q4. The recommendations helped me discover new books which I find interesting. ,Q5: The amount of information available was sufficient to make the decisions ,Q6: I was surprised by some of the recommendations ,Q7. Finding books to put on my reading list was easy ,Q8: My overall satisfaction with my selection of books on my reading list is high ,Q9: The items recommended to me matched my interests. ,Q10. I understood why the items were recommended to me. ,Q11. My overall satisfaction with the app is high. ,"Q12. I like the app, and I would use it again in the future.",Open feedback
case 069,03a67044-cfe7-43cc-bb7b-e49e33f23ba6,5,1,3,50 to 100 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio completo,União Estável,Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,3,3,5,3,5,3,4,5,Por favor colocar mais opções de livros e indicações.
case 070,0570a3da-3984-4bd9-be08-edb91d8d566f,5,1,3,More than 100 books in a year,26 - 29 anos,Feminino,Minas Gerais,Superior completo,Casado(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,3,2,2,2,4,3,5,5,2,4,"A proposta do aplicativo é boa, só esperava que, mesmo com o propósito de pesquisa, pudesse receber maiores recomendações e não apenas 5. Seria mais interessante se fosse ilimitado."
case 071,08f84299-0e26-463c-b564-d559bd667df1,5,1,4,50 to 100 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",3,2,3,2,3,3,3,3,2,3,3,3,
case 072,097385d6-edbd-47db-a440-ea4583460797,5,1,3,20 to 50 books in a year,22 - 25 anos,Feminino,Mato Grosso do Sul,Superior incompleto,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",2,5,3,2,1,5,4,3,2,3,3,3,"Os livros que coloquei como favoritos foram todos livros que já tinha lido pois os livros novos que tinham sido recomendados nem um chamou minha atenção ou pareceram  interessante para mim, o número de livros recomendados foi pouco na minha opinião, no final não achei nem um livro novo pra ler."
case 073,1b9e1c05-1d5e-4d17-848b-3f581c9be054,5,1,4,6 to 20 books in a year,26 - 29 anos,Feminino,Rio Grande do Sul,Superior completo,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,4,4,4,3,3,4,4,4,4,
case 074,27a06dd0-c6c6-463a-a9d0-f92ae9a47869,3,1,4,6 to 20 books in a year,30 - 33 anos,Feminino,Distrito Federal,Pós-graduação incompleta,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",3,4,4,4,4,3,3,3,3,3,3,3,
case 075,3d07e446-9a78-4758-8ab2-88c1ed427a12,5,1,3,6 to 20 books in a year,22 - 25 anos,Feminino,Paraná,Superior completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,4,5,2,2,1,4,3,5,5,4,4,
case 076,43da9199-12d3-4f3e-99e2-f4cdae0f4e9e,4,1,3,20 to 50 books in a year,30 - 33 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,Prefiro não declarar,3,3,3,3,3,3,3,3,3,3,3,3,
case 077,4eb7e686-f194-4abe-923c-0cb7a7b39c42,5,1,2,50 to 100 books in a year,30 - 33 anos,Feminino,Espírito Santo,Ensino médio completo,União Estável,Branca,"De R$ 813,00 a R$ 1.805,00",4,3,4,4,5,5,1,3,3,2,4,4,
case 078,8d1d24f5-bfd2-41f2-b259-abe58e6beb74,5,1,3,More than 100 books in a year,26 - 29 anos,Feminino,São Paulo,Pós-graduação completa,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,4,3,4,4,3,2,3,3,4,4,3,
